#,Constituency,Name,Winner-Predict,Winner-MarginPredict
1,Kasaragod,Baiju,,
1,Kasaragod,Becker,,
1,Kasaragod,Ranish,,
1,Kasaragod,Shanavas,,
1,Kasaragod,Shiju,,
1,Kasaragod,Swami,,
2,Kannur,Baiju,,
2,Kannur,Becker,,
2,Kannur,Ranish,,
2,Kannur,Shanavas,,
2,Kannur,Shiju,,
2,Kannur,Swami,,
3,Vadakara,Baiju,,
3,Vadakara,Becker,,
3,Vadakara,Ranish,,
3,Vadakara,Shanavas,,
3,Vadakara,Shiju,,
3,Vadakara,Swami,,
4,Wayanad,Baiju,,
4,Wayanad,Becker,,
4,Wayanad,Ranish,,
4,Wayanad,Shanavas,,
4,Wayanad,Shiju,,
4,Wayanad,Swami,,
5,Kozhikode,Baiju,,
5,Kozhikode,Becker,,
5,Kozhikode,Ranish,,
5,Kozhikode,Shanavas,,
5,Kozhikode,Shiju,,
5,Kozhikode,Swami,,
6,Malappuram,Baiju,,
6,Malappuram,Becker,,
6,Malappuram,Ranish,,
6,Malappuram,Shanavas,,
6,Malappuram,Shiju,,
6,Malappuram,Swami,,
7,Ponnani,Baiju,,
7,Ponnani,Becker,,
7,Ponnani,Ranish,,
7,Ponnani,Shanavas,,
7,Ponnani,Shiju,,
7,Ponnani,Swami,,
8,Palakkad,Baiju,,
8,Palakkad,Becker,,
8,Palakkad,Ranish,,
8,Palakkad,Shanavas,,
8,Palakkad,Shiju,,
8,Palakkad,Swami,,
9,Alathur,Baiju,,
9,Alathur,Becker,,
9,Alathur,Ranish,,
9,Alathur,Shanavas,,
9,Alathur,Shiju,,
9,Alathur,Swami,,
10,Thrissur,Baiju,,
10,Thrissur,Becker,,
10,Thrissur,Ranish,,
10,Thrissur,Shanavas,,
10,Thrissur,Shiju,,
10,Thrissur,Swami,,
11,Chalakudy,Baiju,,
11,Chalakudy,Becker,,
11,Chalakudy,Ranish,,
11,Chalakudy,Shanavas,,
11,Chalakudy,Shiju,,
11,Chalakudy,Swami,,
12,Ernakulam,Baiju,,
12,Ernakulam,Becker,,
12,Ernakulam,Ranish,,
12,Ernakulam,Shanavas,,
12,Ernakulam,Shiju,,
12,Ernakulam,Swami,,
13,Idukki,Baiju,,
13,Idukki,Becker,,
13,Idukki,Ranish,,
13,Idukki,Shanavas,,
13,Idukki,Shiju,,
13,Idukki,Swami,,
14,Kottayam,Baiju,,
14,Kottayam,Becker,,
14,Kottayam,Ranish,,
14,Kottayam,Shanavas,,
14,Kottayam,Shiju,,
14,Kottayam,Swami,,
15,Alappuzha,Baiju,,
15,Alappuzha,Becker,,
15,Alappuzha,Ranish,,
15,Alappuzha,Shanavas,,
15,Alappuzha,Shiju,,
15,Alappuzha,Swami,,
16,Mavelikkara,Baiju,,
16,Mavelikkara,Becker,,
16,Mavelikkara,Ranish,,
16,Mavelikkara,Shanavas,,
16,Mavelikkara,Shiju,,
16,Mavelikkara,Swami,,
17,Pathanamthitta,Baiju,,
17,Pathanamthitta,Becker,,
17,Pathanamthitta,Ranish,,
17,Pathanamthitta,Shanavas,,
17,Pathanamthitta,Shiju,,
17,Pathanamthitta,Swami,,
18,Kollam,Baiju,,
18,Kollam,Becker,,
18,Kollam,Ranish,,
18,Kollam,Shanavas,,
18,Kollam,Shiju,,
18,Kollam,Swami,,
19,Attingal,Baiju,,
19,Attingal,Becker,,
19,Attingal,Ranish,,
19,Attingal,Shanavas,,
19,Attingal,Shiju,,
19,Attingal,Swami,,
20,Thiruvananthapuram,Baiju,,
20,Thiruvananthapuram,Becker,,
20,Thiruvananthapuram,Ranish,,
20,Thiruvananthapuram,Shanavas,,
20,Thiruvananthapuram,Shiju,,
20,Thiruvananthapuram,Swami,,